SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
21.0114,SC-12-22(B),14.40,0.11,33.37,0.37,,,0.38,0.01,2.32,22.24,,,,,,,,,,,,,,,,,,,,,,,,
21.0115,SC-12-20(A),3.55,0.04,0.01,0.01,,,0.35,0.03,0.00,3.56,,,,,,,,,,,,,,,,,,,,,,,,
21.0116,SC-12-20(A),3.49,0.04,0.00,-0.01,,,0.30,0.03,0.00,3.49,,,,,,,,,,,,,,,,,,,,,,,,
21.0117,SC-12-20(A),1.79,0.03,0.01,0.01,,,0.25,0.02,0.00,1.79,,,,,,,,,,,,,,,,,,,,,,,,
21.0118,SC-12-20(A),1.35,0.03,0.02,0.01,,,0.18,0.01,0.01,1.36,,,,,,,,,,,,,,,,,,,,,,,,
21.0119,SM-13-01,1.93,0.03,0.10,0.01,,,0.29,0.02,0.05,1.95,,,,,,,,,,,,,,,,,,,,,,,,
21.012,SM-13-01,1.78,0.04,0.11,0.02,,,0.27,0.01,0.06,1.80,,,,,,,,,,,,,,,,,,,,,,,,
21.0121,SM-13-02,0.57,0.02,0.01,0.02,,,0.13,0.01,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,
21.0122,SM-13-02,0.73,0.02,0.02,0.02,,,0.11,0.01,0.02,0.74,,,,,,,,,,,,,,,,,,,,,,,,
21.0123,SM-13-07,1.01,0.02,0.01,0.01,,,0.15,0.01,0.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,
21.0124,SM-13-07,1.13,0.02,0.02,0.01,,,0.15,0.01,0.02,1.13,,,,,,,,,,,,,,,,,,,,,,,,
21.0125,SC-12-16(B)_black,1.87,0.02,3.94,0.05,,,0.55,0.04,2.11,2.79,,,,,,,,,,,,,,,,,,,,,,,,
21.0126,SC-12-16(B)_black,2.42,0.05,4.25,0.08,,,0.67,0.01,1.76,3.42,,,,,,,,,,,,,,,,,,,,,,,,
21.0127,SC-12-16(B)_brown,3.47,0.05,10.72,0.13,,,0.44,0.02,3.09,5.99,,,,,,,,,,,,,,,,,,,,,,,,
21.0128,SC-12-16(B)_brown,3.29,0.04,11.07,0.13,,,0.36,0.02,3.37,5.89,,,,,,,,,,,,,,,,,,,,,,,,
21.0129,SC-12-21(A),0.26,0.01,0.13,0.01,,,0.08,0.00,0.50,0.29,,,,,,,,,,,,,,,,,,,,,,,,
21.013,SC-12-21(A),0.19,0.01,0.45,0.01,,,0.08,0.01,2.42,0.29,,,,,,,,,,,,,,,,,,,,,,,,
21.0131,SC-12-21(A),0.17,0.01,0.61,0.01,,,0.04,0.00,3.52,0.32,,,,,,,,,,,,,,,,,,,,,,,,
21.0132,SC-12-21(B),9.83,0.03,13.57,0.13,,,0.61,0.04,1.38,13.02,,,,,,,,,,,,,,,,,,,,,,,,
21.0133,SC-12-21(B),8.48,0.04,9.55,0.12,,,0.62,0.02,1.13,10.72,,,,,,,,,,,,,,,,,,,,,,,,
21.0134,SC-12-21(D),16.35,0.09,27.53,0.32,,,1.65,0.04,1.68,22.82,,,,,,,,,,,,,,,,,,,,,,,,
21.0135,SC-12-21(D),11.86,0.13,43.36,0.48,,,1.82,0.03,3.66,22.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0001,B-93-01,27.91,0.10,0.00,0.02,,,8.64,0.40,0.00,27.91,,,,,,,,,,,,,,,,,,,,,,,,
22.0002,B-93-01,8.46,0.04,0.01,0.01,,,2.98,0.23,0.00,8.47,,,,,,,,,,,,,,,,,,,,,,,,
22.0003,BA-P010-surface,123.19,0.45,0.13,0.01,,,41.74,3.51,0.00,123.22,,,,,,,,,,,,,,,,,,,,,,,,
22.0004,BA-P010-surface,111.34,0.39,0.10,0.03,,,37.02,1.13,0.00,111.36,,,,,,,,,,,,,,,,,,,,,,,,
22.0005,BAH 3 cml 7 3 bottom layers,141.69,0.51,0.02,0.02,,,10.83,0.48,0.00,141.69,,,,,,,,,,,,,,,,,,,,,,,,
22.0006,BAH 3 cml 7 3 bottom layers,153.01,0.55,0.03,0.02,,,10.98,0.50,0.00,153.02,,,,,,,,,,,,,,,,,,,,,,,,
22.0007,BAH 3 cml 7 3 bottom layers,117.61,0.42,0.01,0.01,,,7.90,0.44,0.00,117.61,,,,,,,,,,,,,,,,,,,,,,,,
22.0008,BAH 3 cml 7 3 bottom layers,176.01,0.63,0.10,0.03,,,9.70,0.24,0.00,176.03,,,,,,,,,,,,,,,,,,,,,,,,
22.0009,BAH 3 cml 7 3 bottom layers,117.50,0.42,0.04,0.01,,,6.60,0.37,0.00,117.51,,,,,,,,,,,,,,,,,,,,,,,,
22.001,BAH 3 cml 7 3 bottom layers,99.30,0.35,0.19,0.02,,,8.04,0.30,0.00,99.34,,,,,,,,,,,,,,,,,,,,,,,,
22.0011,BAH 3 cml 7 large goethite layer,75.35,0.27,0.05,0.02,,,6.30,0.22,0.00,75.36,,,,,,,,,,,,,,,,,,,,,,,,
22.0012,BAH 3 cml 7 large goethite layer,81.71,0.29,0.06,0.02,,,6.31,0.25,0.00,81.73,,,,,,,,,,,,,,,,,,,,,,,,
22.0013,BAH-03 cml 6 LT100_black,135.48,0.49,0.03,0.02,,,3.18,0.17,0.00,135.49,,,,,,,,,,,,,,,,,,,,,,,,
22.0014,BAH-03 cml 6 LT100_black,126.22,0.45,0.00,-0.03,,,2.96,0.10,0.00,126.22,,,,,,,,,,,,,,,,,,,,,,,,
22.0015,BAH-03 cml 6 LT100_brown,52.99,0.19,-0.01,-0.03,,,2.02,0.06,0.00,52.99,,,,,,,,,,,,,,,,,,,,,,,,
22.0016,BAH-03 cml 6 LT100_brown,38.33,0.13,0.02,0.04,,,1.47,0.04,0.00,38.33,,,,,,,,,,,,,,,,,,,,,,,,
22.0017,BAH-100 black,1133.15,4.98,0.08,0.01,,,191.61,12.56,0.00,1133.17,,,,,,,,,,,,,,,,,,,,,,,,
22.0018,BAH-100 black,311.65,1.28,0.04,0.01,,,64.92,7.83,0.00,311.66,,,,,,,,,,,,,,,,,,,,,,,,
22.0019,BAH-100 black,401.41,1.70,0.13,0.01,,,84.64,10.60,0.00,401.44,,,,,,,,,,,,,,,,,,,,,,,,
22.002,BAH-100_black gt,1640.39,7.17,0.42,0.03,,,289.69,10.23,0.00,1640.49,,,,,,,,,,,,,,,,,,,,,,,,
22.0021,BAH-100_black gt,1439.42,6.22,0.22,0.02,,,335.61,12.03,0.00,1439.47,,,,,,,,,,,,,,,,,,,,,,,,
22.0022,BAH-100_brown gt,351.77,1.29,0.15,0.03,,,97.71,2.53,0.00,351.80,,,,,,,,,,,,,,,,,,,,,,,,
22.0023,BAH-100_brown gt,368.53,1.42,0.16,0.02,,,94.00,4.39,0.00,368.57,,,,,,,,,,,,,,,,,,,,,,,,
22.0024,BAH-100_brown gt,431.10,1.73,0.10,0.01,,,115.01,6.81,0.00,431.12,,,,,,,,,,,,,,,,,,,,,,,,
22.0025,BAH-99-01 gr1,111.59,0.39,0.07,0.04,,,14.30,0.25,0.00,111.61,,,,,,,,,,,,,,,,,,,,,,,,
22.0026,BAH-99-01 gr2,83.29,0.29,0.01,0.02,,,8.37,0.29,0.00,83.29,,,,,,,,,,,,,,,,,,,,,,,,
22.0027,BAH-99-01 gr3,70.57,0.25,0.06,0.03,,,10.13,0.26,0.00,70.58,,,,,,,,,,,,,,,,,,,,,,,,
22.0028,BAH-F115-15-16G,162.94,0.61,0.19,0.01,,,20.47,1.36,0.00,162.99,,,,,,,,,,,,,,,,,,,,,,,,
22.0029,BAH-F115-15-16G,160.24,0.57,0.09,0.03,,,19.96,0.48,0.00,160.26,,,,,,,,,,,,,,,,,,,,,,,,
22.003,BAH-F124-111.2B,187.00,0.68,0.03,0.02,,,34.24,1.25,0.00,187.00,,,,,,,,,,,,,,,,,,,,,,,,
22.0031,BAH-F124-111.2B,130.93,0.47,0.02,0.01,,,26.65,1.26,0.00,130.93,,,,,,,,,,,,,,,,,,,,,,,,
22.0032,BAH-F124-112,38.80,0.14,-0.04,-0.02,,,10.36,0.49,0.00,38.79,,,,,,,,,,,,,,,,,,,,,,,,
22.0033,BAH-F124-112,57.10,0.20,-0.06,-0.02,,,14.57,0.61,0.00,57.08,,,,,,,,,,,,,,,,,,,,,,,,
22.0034,BAH-F124-112,35.90,0.13,0.00,-0.01,,,9.76,0.70,0.00,35.90,,,,,,,,,,,,,,,,,,,,,,,,
22.0035,BAH-F124-112,69.65,0.25,0.24,0.02,,,17.73,0.94,0.00,69.70,,,,,,,,,,,,,,,,,,,,,,,,
22.0036,BAH-F124-114,295.67,1.10,0.04,0.02,,,15.67,0.62,0.00,295.68,,,,,,,,,,,,,,,,,,,,,,,,
22.0037,BAH-F124-114,272.69,1.01,0.02,0.02,,,15.08,0.54,0.00,272.70,,,,,,,,,,,,,,,,,,,,,,,,
22.0038,BAH-F124-123.1 (black),86.36,0.31,0.00,-0.02,,,16.24,0.88,0.00,86.36,,,,,,,,,,,,,,,,,,,,,,,,
22.0039,BAH-F124-123.1 (black),94.40,0.34,-0.02,-0.01,,,21.18,2.21,0.00,94.40,,,,,,,,,,,,,,,,,,,,,,,,
22.004,BAH-F124-123.1 (sparkling),27.13,0.10,-0.03,-0.01,,,1.54,0.13,0.00,27.12,,,,,,,,,,,,,,,,,,,,,,,,
22.0041,BAH-F124-123.1 (sparkling),20.45,0.07,-0.03,-0.02,,,1.32,0.07,0.00,20.44,,,,,,,,,,,,,,,,,,,,,,,,
22.0042,BAH-F124-123.2 (weird gt),32.09,0.11,-0.03,-0.01,,,4.38,0.33,0.00,32.08,,,,,,,,,,,,,,,,,,,,,,,,
22.0043,BAH-F124-123.2 (weird gt),18.45,0.06,-0.01,-0.01,,,2.85,0.23,0.00,18.45,,,,,,,,,,,,,,,,,,,,,,,,
22.0044,BAH-F124-123.2 (black),128.83,0.46,-0.06,-0.02,,,24.30,1.21,0.00,128.81,,,,,,,,,,,,,,,,,,,,,,,,
22.0045,BAH-F124-123.2 (black),145.27,0.53,0.02,0.01,,,28.47,2.19,0.00,145.27,,,,,,,,,,,,,,,,,,,,,,,,
22.0046,BAH-F124-123.7,211.21,0.78,0.01,0.01,,,60.64,3.79,0.00,211.22,,,,,,,,,,,,,,,,,,,,,,,,
22.0047,BAH-F124-123.7,174.04,0.64,0.03,0.01,,,47.59,3.40,0.00,174.05,,,,,,,,,,,,,,,,,,,,,,,,
22.0048,BAH-F177-115,187.30,0.71,0.02,0.01,,,2.70,0.27,0.00,187.30,,,,,,,,,,,,,,,,,,,,,,,,
22.0049,BAH-F177-115,173.76,0.64,0.02,0.01,,,2.87,0.21,0.00,173.76,,,,,,,,,,,,,,,,,,,,,,,,
22.005,BAH-F177-115 (brown),33.40,0.12,0.56,0.04,,,3.89,0.12,0.02,33.53,,,,,,,,,,,,,,,,,,,,,,,,
22.0051,BAH-F226-142.7_black,119.16,0.43,0.01,0.01,,,2.83,0.19,0.00,119.16,,,,,,,,,,,,,,,,,,,,,,,,
22.0052,BAH-F226-142.7_black,108.00,0.38,0.04,0.02,,,2.33,0.12,0.00,108.01,,,,,,,,,,,,,,,,,,,,,,,,
22.0053,BAH-F226-142.7_brown,58.22,0.20,0.07,0.02,,,3.82,0.15,0.00,58.24,,,,,,,,,,,,,,,,,,,,,,,,
22.0054,BAH-F226-142.7_brown,62.65,0.22,0.08,0.01,,,4.50,0.37,0.00,62.67,,,,,,,,,,,,,,,,,,,,,,,,
22.0055,BAH-F226-142.7_sparkling,38.58,0.14,0.00,0.01,,,2.73,0.24,0.00,38.58,,,,,,,,,,,,,,,,,,,,,,,,
22.0056,BAH-F226-152.67,82.65,0.32,0.03,0.00,,,22.47,3.21,0.00,82.66,,,,,,,,,,,,,,,,,,,,,,,,
22.0057,BAH-F226-152.67,85.94,0.33,0.09,0.00,,,22.24,3.20,0.00,85.97,,,,,,,,,,,,,,,,,,,,,,,,
22.0058,BAH-F226-157.6_black,99.15,0.35,0.03,0.02,,,4.93,0.23,0.00,99.15,,,,,,,,,,,,,,,,,,,,,,,,
22.0059,BAH-F226-157.6_brown,49.80,0.18,0.01,0.02,,,3.06,0.15,0.00,49.80,,,,,,,,,,,,,,,,,,,,,,,,
22.006,BAH-F226-157.6_brown,41.86,0.15,0.86,0.03,,,2.57,0.11,0.02,42.07,,,,,,,,,,,,,,,,,,,,,,,,
22.0061,BAH-F226-182.2_stalagmite,3.51,0.08,0.04,0.05,,,1.44,0.03,0.01,3.52,,,,,,,,,,,,,,,,,,,,,,,,
22.0062,BAH-F226-182.2_stalagmite,10.21,0.06,0.03,0.02,,,1.23,0.06,0.00,10.22,,,,,,,,,,,,,,,,,,,,,,,,
22.0063,BAH-F226-182.2_stalagmite,1.52,0.03,0.09,0.01,,,0.04,0.00,0.06,1.54,,,,,,,,,,,,,,,,,,,,,,,,
22.0064,BAH-F226-186.8 (dark grey),585.80,2.29,7.60,0.12,,,145.26,6.33,0.01,587.59,,,,,,,,,,,,,,,,,,,,,,,,
22.0065,BAH-F226-186.8 (dark grey),710.66,2.78,4.48,0.09,,,171.64,6.25,0.01,711.71,,,,,,,,,,,,,,,,,,,,,,,,
22.0066,BAH-F226-186.8,44.17,0.16,1.29,0.03,,,2.80,0.23,0.03,44.47,,,,,,,,,,,,,,,,,,,,,,,,
22.0067,BAH-F226-193.5,48.41,0.17,0.65,0.02,,,7.97,0.58,0.01,48.56,,,,,,,,,,,,,,,,,,,,,,,,
22.0068,BAH-F226-193.5,10.74,0.04,-0.01,-0.01,,,1.23,0.09,0.00,10.74,,,,,,,,,,,,,,,,,,,,,,,,
22.0069,BAH-F282-118.2_black,39.34,0.14,-0.01,-0.01,,,5.83,0.67,0.00,39.34,,,,,,,,,,,,,,,,,,,,,,,,
22.007,BAH-F282-118.2_black,21.41,0.08,-0.02,-0.01,,,1.16,0.10,0.00,21.41,,,,,,,,,,,,,,,,,,,,,,,,
22.0071,BAH-F282-118.2_brown,72.84,0.26,-0.04,-0.01,,,15.08,1.21,0.00,72.83,,,,,,,,,,,,,,,,,,,,,,,,
22.0072,BAH-F282-118.2_brown,58.84,0.21,-0.01,-0.01,,,9.56,1.61,0.00,58.83,,,,,,,,,,,,,,,,,,,,,,,,
22.0073,BAH-F282-118.4_brown,75.43,0.27,0.02,0.01,,,11.52,0.57,0.00,75.44,,,,,,,,,,,,,,,,,,,,,,,,
22.0074,BAH-F282-118.4_brown,108.36,0.40,0.02,0.01,,,20.93,1.72,0.00,108.36,,,,,,,,,,,,,,,,,,,,,,,,
22.0075,BAH-F282-118.4_brown&black,164.75,0.60,0.05,0.01,,,15.32,0.94,0.00,164.76,,,,,,,,,,,,,,,,,,,,,,,,
22.0076,BAH-F282-118.4_black,98.85,0.36,0.02,0.01,,,17.44,1.65,0.00,98.86,,,,,,,,,,,,,,,,,,,,,,,,
22.0077,BAH-F282-118.4_sparkling,32.02,0.11,0.07,0.01,,,3.73,0.28,0.00,32.04,,,,,,,,,,,,,,,,,,,,,,,,
22.0078,BAH-F282-120.5 (brown),516.33,1.94,0.19,0.03,,,118.08,2.83,0.00,516.37,,,,,,,,,,,,,,,,,,,,,,,,
22.0079,BAH-F282-120.5 (brown),526.89,1.99,0.13,0.03,,,116.23,2.89,0.00,526.92,,,,,,,,,,,,,,,,,,,,,,,,
22.008,BAH-F282-120.5 (black),1014.77,4.48,0.07,0.01,,,206.99,16.15,0.00,1014.78,,,,,,,,,,,,,,,,,,,,,,,,
22.0081,BAH-F282-120.5 (black),1135.51,4.96,0.43,0.02,,,230.64,14.09,0.00,1135.61,,,,,,,,,,,,,,,,,,,,,,,,
22.0082,BAH-F282-124.9_stalag.,26.86,0.09,0.01,0.01,,,5.85,0.47,0.00,26.87,,,,,,,,,,,,,,,,,,,,,,,,
22.0083,BAH-F282-124.9_stalag.,40.08,0.14,-0.04,-0.01,,,7.80,0.51,0.00,40.07,,,,,,,,,,,,,,,,,,,,,,,,
22.0084,BAH-F282-126.3,92.71,0.35,0.99,0.02,,,27.02,4.20,0.01,92.95,,,,,,,,,,,,,,,,,,,,,,,,
22.0085,BAH-F282-126.3,388.71,1.59,4.61,0.06,,,83.66,4.76,0.01,389.79,,,,,,,,,,,,,,,,,,,,,,,,
22.0086,BAH-F282-94.3,152.16,0.57,0.01,0.01,,,36.54,3.61,0.00,152.16,,,,,,,,,,,,,,,,,,,,,,,,
22.0087,BAH-F282-94.3,138.12,0.54,0.02,0.01,,,28.04,4.84,0.00,138.13,,,,,,,,,,,,,,,,,,,,,,,,
22.0088,IB-03-8 2nd bench/3.5m,6.12,0.07,19.73,0.23,,,1.24,0.05,3.22,10.76,,,,,,,,,,,,,,,,,,,,,,,,
22.0089,IB-03-8 2nd bench/3.5m,6.99,0.08,24.64,0.27,,,1.07,0.05,3.52,12.78,,,,,,,,,,,,,,,,,,,,,,,,
22.009,IBH-13-03 Top Crust,483.66,1.91,0.03,0.02,,,1.95,0.11,0.00,483.66,,,,,,,,,,,,,,,,,,,,,,,,
22.0091,IBH-13-03 Top Crust,422.95,1.61,0.01,0.02,,,2.04,0.10,0.00,422.95,,,,,,,,,,,,,,,,,,,,,,,,
22.0092,IBH-13-03 under TC_black,684.52,2.69,0.00,-0.02,,,3.38,0.14,0.00,684.52,,,,,,,,,,,,,,,,,,,,,,,,
22.0093,IBH-13-03 under TC_reddish,69.21,0.25,0.00,-0.01,,,1.87,0.13,0.00,69.21,,,,,,,,,,,,,,,,,,,,,,,,
22.0094,IBH-13-03 under TC_reddish,79.94,0.28,0.00,0.01,,,2.17,0.16,0.00,79.94,,,,,,,,,,,,,,,,,,,,,,,,
22.0095,IBH-13-08c,20.23,0.29,109.44,1.21,,,6.87,0.05,5.41,45.95,,,,,,,,,,,,,,,,,,,,,,,,
22.0096,IBH-13-08c,15.00,0.28,74.27,0.96,,,4.65,0.03,4.95,32.46,,,,,,,,,,,,,,,,,,,,,,,,
22.0097,IBH-13-09b(1) gt filling cav.,7.06,0.08,19.85,0.24,,,1.51,0.06,2.81,11.72,,,,,,,,,,,,,,,,,,,,,,,,
22.0098,IBH-13-09b(1) gt filling cav.,6.08,0.09,19.60,0.26,,,1.63,0.05,3.22,10.69,,,,,,,,,,,,,,,,,,,,,,,,
22.0099,IBH-13-09b(2) gt cement,6.72,0.09,23.82,0.28,,,1.81,0.07,3.54,12.32,,,,,,,,,,,,,,,,,,,,,,,,
22.01,IBH-13-09b(2) gt cement,5.36,0.07,17.37,0.21,,,1.47,0.07,3.24,9.44,,,,,,,,,,,,,,,,,,,,,,,,
22.0101,IBH-13-09e,6.70,0.07,30.18,0.31,,,0.80,0.04,4.50,13.80,,,,,,,,,,,,,,,,,,,,,,,,
22.0102,IBH-13-09e,5.70,0.08,25.93,0.30,,,1.03,0.04,4.55,11.80,,,,,,,,,,,,,,,,,,,,,,,,
22.0103,IBH-13-09h,15.97,0.16,26.35,0.36,,,4.14,0.06,1.65,22.17,,,,,,,,,,,,,,,,,,,,,,,,
22.0104,IBH-13-09h,12.09,0.17,23.35,0.34,,,3.70,0.05,1.93,17.57,,,,,,,,,,,,,,,,,,,,,,,,
22.0105,IBH-13-09h,8.64,0.13,22.02,0.31,,,2.65,0.04,2.55,13.81,,,,,,,,,,,,,,,,,,,,,,,,
22.0106,IBH-13-12,2.78,0.05,3.27,0.06,,,0.32,0.02,1.18,3.54,,,,,,,,,,,,,,,,,,,,,,,,
22.0107,IBH-13-12,2.77,0.05,3.52,0.07,,,0.32,0.02,1.27,3.60,,,,,,,,,,,,,,,,,,,,,,,,
22.0108,N1P1302,0.13,0.00,0.43,0.01,,,0.00,0.00,3.30,0.23,,,,,,,,,,,,,,,,,,,,,,,,
22.0109,N1P1302,0.21,0.01,0.60,0.02,,,0.00,0.00,2.85,0.35,,,,,,,,,,,,,,,,,,,,,,,,
22.011,N1P1302,0.79,0.03,3.63,0.11,,,0.64,0.01,4.57,1.65,,,,,,,,,,,,,,,,,,,,,,,,
22.0111,N1P1302,0.75,0.04,7.90,0.20,,,0.20,0.00,10.49,2.61,,,,,,,,,,,,,,,,,,,,,,,,
22.0112,N1P1302,0.31,0.02,1.69,0.09,,,0.03,0.00,5.46,0.71,,,,,,,,,,,,,,,,,,,,,,,,
22.0113,N1P1303,3.00,0.06,8.60,0.14,,,0.52,0.01,2.86,5.03,,,,,,,,,,,,,,,,,,,,,,,,
22.0114,N1P1303,3.08,0.06,9.88,0.16,,,0.56,0.01,3.21,5.40,,,,,,,,,,,,,,,,,,,,,,,,
22.0115,N1P1306,0.73,0.03,4.34,0.10,,,0.07,0.00,5.96,1.75,,,,,,,,,,,,,,,,,,,,,,,,
22.0116,N1P1306,0.38,0.02,2.04,0.06,,,0.03,0.00,5.42,0.86,,,,,,,,,,,,,,,,,,,,,,,,
22.0117,N1P1309,0.36,0.02,0.40,0.04,,,0.02,0.00,1.11,0.45,,,,,,,,,,,,,,,,,,,,,,,,
22.0118,N1P1309,1.01,0.03,0.83,0.03,,,0.06,0.00,0.82,1.21,,,,,,,,,,,,,,,,,,,,,,,,
22.0119,N1P1313,0.44,0.02,0.88,0.04,,,0.00,0.00,1.99,0.65,,,,,,,,,,,,,,,,,,,,,,,,
22.012,N1P1313,0.21,0.01,0.60,0.03,,,0.00,0.00,2.86,0.35,,,,,,,,,,,,,,,,,,,,,,,,
22.0121,N1P1313b,0.20,0.01,0.57,0.02,,,0.00,0.00,2.83,0.33,,,,,,,,,,,,,,,,,,,,,,,,
22.0122,N1P1313b,0.21,0.01,0.46,0.02,,,0.00,0.00,2.19,0.32,,,,,,,,,,,,,,,,,,,,,,,,
22.0123,N1P1314,0.28,0.01,1.07,0.03,,,0.02,0.00,3.76,0.54,,,,,,,,,,,,,,,,,,,,,,,,
22.0124,N1P1314,0.37,0.01,1.62,0.03,,,0.03,0.00,4.33,0.76,,,,,,,,,,,,,,,,,,,,,,,,
22.0125,N1P1314,0.67,0.03,3.94,0.10,,,0.41,0.01,5.87,1.60,,,,,,,,,,,,,,,,,,,,,,,,
22.0126,N1P1314,0.26,0.01,1.32,0.07,,,0.04,0.00,5.18,0.57,,,,,,,,,,,,,,,,,,,,,,,,
22.0127,N1P1317,0.60,0.02,4.81,0.10,,,0.15,0.00,8.07,1.73,,,,,,,,,,,,,,,,,,,,,,,,
22.0128,N1P1317,3.13,0.06,19.85,0.25,,,0.73,0.01,6.35,7.79,,,,,,,,,,,,,,,,,,,,,,,,
22.0129,N1P1317,2.75,0.08,14.87,0.25,,,0.05,0.00,5.40,6.25,,,,,,,,,,,,,,,,,,,,,,,,
22.013,N1P1317,18.60,0.36,125.30,1.52,,,5.44,0.03,6.74,48.04,,,,,,,,,,,,,,,,,,,,,,,,
22.0131,N1P1317 Pisolith,4.36,0.10,17.84,0.28,,,3.43,0.05,4.09,8.55,,,,,,,,,,,,,,,,,,,,,,,,
22.0132,N1P1317 Pisolith,2.00,0.06,8.03,0.17,,,0.07,0.00,4.02,3.88,,,,,,,,,,,,,,,,,,,,,,,,
22.0133,N1P1318 lake,1.00,0.04,9.39,0.18,,,0.05,0.00,9.43,3.20,,,,,,,,,,,,,,,,,,,,,,,,
22.0134,N1P1318 lake,0.73,0.03,5.30,0.10,,,0.02,0.00,7.24,1.98,,,,,,,,,,,,,,,,,,,,,,,,
22.0135,N1P1321b,0.15,0.01,1.39,0.05,,,0.01,0.00,9.07,0.48,,,,,,,,,,,,,,,,,,,,,,,,
22.0136,N1P1321b,0.13,0.01,1.02,0.05,,,0.01,0.00,7.68,0.37,,,,,,,,,,,,,,,,,,,,,,,,
22.0137,N1P1323,0.35,0.01,4.42,0.08,,,0.02,0.00,12.70,1.39,,,,,,,,,,,,,,,,,,,,,,,,
22.0138,N1P1323,0.64,0.02,5.05,0.09,,,0.04,0.00,7.88,1.83,,,,,,,,,,,,,,,,,,,,,,,,
22.0139,N1P1323,34.94,0.51,232.30,2.41,,,6.61,0.03,6.65,89.53,,,,,,,,,,,,,,,,,,,,,,,,
22.014,N1P1323,1.20,0.04,4.03,0.11,,,0.05,0.00,3.36,2.15,,,,,,,,,,,,,,,,,,,,,,,,
22.0141,N1P1328,4.86,0.10,20.05,0.30,,,1.09,0.02,4.12,9.57,,,,,,,,,,,,,,,,,,,,,,,,
22.0142,N1P1328,2.79,0.06,5.79,0.11,,,0.37,0.01,2.08,4.15,,,,,,,,,,,,,,,,,,,,,,,,
22.0143,N1P1332,0.90,0.03,4.24,0.11,,,0.02,0.00,4.72,1.90,,,,,,,,,,,,,,,,,,,,,,,,
22.0144,N1P1332,1.32,0.04,5.15,0.12,,,0.06,0.00,3.92,2.53,,,,,,,,,,,,,,,,,,,,,,,,
22.0145,N1P1333,1.29,0.03,6.97,0.10,,,0.44,0.01,5.41,2.92,,,,,,,,,,,,,,,,,,,,,,,,
22.0146,N1P1333,1.89,0.04,10.38,0.13,,,0.09,0.00,5.51,4.33,,,,,,,,,,,,,,,,,,,,,,,,
22.0147,N1P1333,8.88,0.22,51.91,0.78,,,3.57,0.02,5.85,21.08,,,,,,,,,,,,,,,,,,,,,,,,
22.0148,N1P1333,6.10,0.18,32.73,0.59,,,1.39,0.01,5.36,13.79,,,,,,,,,,,,,,,,,,,,,,,,
22.0149,N1P1335,0.36,0.01,0.37,0.02,,,0.01,0.00,1.02,0.44,,,,,,,,,,,,,,,,,,,,,,,,
22.015,N1P1335,0.39,0.01,1.96,0.03,,,0.00,0.01,5.08,0.85,,,,,,,,,,,,,,,,,,,,,,,,
22.0151,N1P1335,0.20,0.01,1.14,0.05,,,0.00,0.00,5.62,0.47,,,,,,,,,,,,,,,,,,,,,,,,
22.0152,N1P1335,0.06,0.01,0.38,0.04,,,0.01,0.00,5.96,0.15,,,,,,,,,,,,,,,,,,,,,,,,
22.0153,N1P1337_blV Gt,0.09,0.01,0.40,0.05,,,0.00,0.00,4.67,0.18,,,,,,,,,,,,,,,,,,,,,,,,
22.0154,N1P1337_blV Gt,0.10,0.01,0.59,0.03,,,0.00,0.00,5.89,0.24,,,,,,,,,,,,,,,,,,,,,,,,
22.0155,N1P1337_brown Gt,0.65,0.03,3.37,0.09,,,0.05,0.00,5.16,1.44,,,,,,,,,,,,,,,,,,,,,,,,
22.0156,N1P1337_brown Gt,1.69,0.06,9.25,0.20,,,0.12,0.00,5.48,3.86,,,,,,,,,,,,,,,,,,,,,,,,
22.0157,N1P1343,0.13,0.01,0.41,0.03,,,0.02,0.00,3.29,0.22,,,,,,,,,,,,,,,,,,,,,,,,
22.0158,N1P1343,0.05,0.00,0.21,0.01,,,0.00,0.00,4.57,0.10,,,,,,,,,,,,,,,,,,,,,,,,
22.0159,N1P1343,0.16,0.01,0.70,0.06,,,0.03,0.00,4.30,0.33,,,,,,,,,,,,,,,,,,,,,,,,
22.016,N1P1343,0.20,0.01,0.63,0.03,,,0.01,0.00,3.11,0.35,,,,,,,,,,,,,,,,,,,,,,,,
22.0161,BOI-002,16.81,0.09,10.56,0.16,,,0.35,0.01,0.63,19.29,,,,,,,,,,,,,,,,,,,,,,,,
22.0162,BOI-002,27.56,0.10,20.03,0.25,,,0.43,0.01,0.73,32.27,,,,,,,,,,,,,,,,,,,,,,,,
