SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
15.0012,QF57B2c,2.41,0.05,31.22,0.33,,,0.31,0.01,12.93,9.75,,,,,,,,,,,,,,,,,,,,,,,,
15.0013,QF37A1b,1.69,0.05,6.17,0.14,,,0.57,0.01,3.65,3.14,,,,,,,,,,,,,,,,,,,,,,,,
15.0014,QF37A1c,9.40,0.13,4.91,0.11,,,0.63,0.01,0.52,10.55,,,,,,,,,,,,,,,,,,,,,,,,
15.0015,QF37A2a,4.02,0.04,6.76,0.09,,,0.36,0.02,1.68,5.61,,,,,,,,,,,,,,,,,,,,,,,,
15.0016,QF37A2c,2.66,0.06,12.66,0.18,,,0.22,0.01,4.76,5.63,,,,,,,,,,,,,,,,,,,,,,,,
15.0017,QF37B1a,8.05,0.12,25.48,0.34,,,0.14,0.00,3.16,14.04,,,,,,,,,,,,,,,,,,,,,,,,
15.0018,QF37B1b,1.55,0.03,0.41,0.02,,,0.26,0.01,0.27,1.64,,,,,,,,,,,,,,,,,,,,,,,,
15.0019,QF37B1c,11.95,0.19,28.45,0.41,,,0.31,0.00,2.38,18.64,,,,,,,,,,,,,,,,,,,,,,,,
15.002,QF37B2a,2.36,0.06,4.45,0.10,,,0.03,0.00,1.89,3.40,,,,,,,,,,,,,,,,,,,,,,,,
15.0021,QF37B2c,4.00,0.08,4.02,0.09,,,0.02,0.00,1.00,4.94,,,,,,,,,,,,,,,,,,,,,,,,
15.0022,QF37C1a,2.74,0.04,0.07,0.01,,,0.23,0.01,0.03,2.76,,,,,,,,,,,,,,,,,,,,,,,,
15.0023,QF37C1b,2.16,0.03,0.06,0.01,,,0.26,0.02,0.03,2.17,,,,,,,,,,,,,,,,,,,,,,,,
15.0024,QF37C1c,6.32,0.07,0.28,0.02,,,0.49,0.02,0.04,6.38,,,,,,,,,,,,,,,,,,,,,,,,
15.0025,QF37C2a,23.16,0.10,15.68,0.22,,,1.43,0.03,0.68,26.84,,,,,,,,,,,,,,,,,,,,,,,,
15.0026,QF37C2b,37.23,0.19,39.78,0.51,,,0.73,0.01,1.07,46.58,,,,,,,,,,,,,,,,,,,,,,,,
15.0027,QF37C2c,4.66,0.07,12.74,0.17,,,0.29,0.01,2.73,7.65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0001,PR0933I,54.28,0.19,0.52,0.04,15.56,,0.56,,0.01,54.40,,,,,,,,,,,,,,,,,,,,,,,,
16.0002,PR0933I,58.55,0.21,0.60,0.05,20.51,,0.49,,0.01,58.69,,,,,,,,,,,,,,,,,,,,,,,,
16.0003,PR0933D,5.43,0.09,1.20,0.05,6.46,,0.04,,0.22,5.71,,,,,,,,,,,,,,,,,,,,,,,,
16.0004,PR0933D,6.95,0.07,0.93,0.03,6.20,,0.04,,0.13,7.17,,,,,,,,,,,,,,,,,,,,,,,,
16.0005,PR0933G2,13.82,0.05,0.62,0.03,0.91,,0.68,,0.04,13.97,,,,,,,,,,,,,,,,,,,,,,,,
16.0006,PR0933G2,13.60,0.07,0.44,0.03,1.39,,0.68,,0.03,13.70,,,,,,,,,,,,,,,,,,,,,,,,
16.0007,PR0933G_fract_base,14.34,0.11,0.41,0.04,4.01,,1.16,,0.03,14.44,,,,,,,,,,,,,,,,,,,,,,,,
16.0008,PR0933G_fract_base,7.95,0.08,0.67,0.03,2.28,,0.69,,0.08,8.11,,,,,,,,,,,,,,,,,,,,,,,,
16.0009,PR0933G_fract_top,4.84,0.09,10.64,0.18,10.50,,1.33,,2.20,7.34,,,,,,,,,,,,,,,,,,,,,,,,
16.001,PR0933G_fract_top,31.79,0.13,0.80,0.05,9.08,,2.16,,0.03,31.98,,,,,,,,,,,,,,,,,,,,,,,,
16.0011,PR0933G_B,82.71,0.55,4.40,0.22,38.81,,5.64,,0.05,83.74,,,,,,,,,,,,,,,,,,,,,,,,
16.0012,PR0933G_B,25.53,0.09,0.15,0.02,2.49,,1.11,,0.01,25.57,,,,,,,,,,,,,,,,,,,,,,,,
16.0013,PR0933Gfract,13.45,0.07,0.19,0.02,2.19,,1.07,,0.01,13.49,,,,,,,,,,,,,,,,,,,,,,,,
16.0014,PR0933E-3,11.73,0.05,0.72,0.03,1.28,,0.70,,0.06,11.90,,,,,,,,,,,,,,,,,,,,,,,,
16.0015,PR0933E-3,13.89,0.07,0.95,0.04,3.46,,1.22,,0.07,14.11,,,,,,,,,,,,,,,,,,,,,,,,
16.0016,PR0933A,16.84,0.07,0.06,0.02,2.36,,0.98,,0.00,16.85,,,,,,,,,,,,,,,,,,,,,,,,
16.0017,PR0933A,13.98,0.15,0.26,0.05,1.84,,0.64,,0.02,14.04,,,,,,,,,,,,,,,,,,,,,,,,
16.0018,PR0933 bota,17.59,0.06,0.39,0.03,2.07,,0.92,,0.02,17.68,,,,,,,,,,,,,,,,,,,,,,,,
16.0019,PR0933 bota,15.88,0.07,0.15,0.02,2.96,,0.81,,0.01,15.92,,,,,,,,,,,,,,,,,,,,,,,,
16.002,PR0933A,23.89,0.15,0.25,0.05,5.29,,1.23,,0.01,23.95,,,,,,,,,,,,,,,,,,,,,,,,
16.0021,PR0933B1,15.64,0.09,0.04,0.03,3.03,,0.94,,0.00,15.65,,,,,,,,,,,,,,,,,,,,,,,,
16.0022,PR0933B1,22.53,0.08,0.09,0.02,4.79,,1.19,,0.00,22.55,,,,,,,,,,,,,,,,,,,,,,,,
16.0023,PR0933B1A,16.96,0.06,0.55,0.03,3.21,,0.96,,0.03,17.09,,,,,,,,,,,,,,,,,,,,,,,,
16.0024,PR0933B1A,9.49,0.07,2.43,0.05,1.77,,0.95,,0.26,10.06,,,,,,,,,,,,,,,,,,,,,,,,
16.0025,PR0933 bota,16.38,0.08,0.35,0.03,2.34,,1.00,,0.02,16.46,,,,,,,,,,,,,,,,,,,,,,,,
16.0026,PR0933 bota,13.68,0.11,0.36,0.04,2.32,,1.00,,0.03,13.76,,,,,,,,,,,,,,,,,,,,,,,,
16.0027,PR0933H,32.69,0.11,0.38,0.02,5.34,,1.29,,0.01,32.78,,,,,,,,,,,,,,,,,,,,,,,,
16.0028,PR0933H,29.25,0.10,0.56,0.02,2.71,,1.21,,0.02,29.38,,,,,,,,,,,,,,,,,,,,,,,,
16.0029,PR0717,25.26,0.09,41.41,0.38,4.23,,4.96,,1.64,34.99,,,,,,,,,,,,,,,,,,,,,,,,
16.003,PR0717,24.83,0.09,42.19,0.41,4.18,,5.05,,1.70,34.74,,,,,,,,,,,,,,,,,,,,,,,,
