RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
4,4.0037,06BR080PON-P7 (b),,10.56,1.06,11.62,1.16
4,4.0038,06BR080PON-P7 (m),,10.73,1.09,11.81,1.18
4,4.0039,06BR080PON-P7 (n),,12.57,1.26,13.82,1.38
4,4.004,06BR080PON-P9(B),,7.47,0.74,8.22,0.82
4,4.0041,06BR080PON-P9 (b),,8.48,0.85,9.33,0.93
4,4.0042,06BR080PON-P9 (m),,13.40,1.34,14.74,1.47
4,4.0043,06BR080PON-P9(N),,16.84,1.69,18.52,1.85
4,4.0044,06BR080PON-P9 (n),,10.75,1.08,11.82,1.18
4,4.0045,06BR080PON-P10 - 1(b),,12.50,1.25,13.75,1.37
4,4.0046,06BR080PON-P10 - 2,,11.64,1.17,12.81,1.28
4,4.0047,06BR080PON-P10 - 3,,17.30,1.70,19.03,1.90
4,4.0048,06BR080PON-P10-4(N),,17.80,1.78,19.58,1.96
4,4.0049,06BR080PON-P10 - 4(n),,22.77,2.58,25.05,2.50
4,4.005,06BR082PON-P1 (b),,9.71,0.98,10.69,1.07
4,4.0051,06BR082PON-P1 (m),,8.76,0.89,9.63,0.96
4,4.0052,06BR082PON-P3(B),,17.46,1.75,19.21,1.92
4,4.0053,06BR082PON-P3 (b),,12.66,1.30,13.92,1.39
4,4.0054,06BR082PON-P4 (b),,9.85,1.00,10.83,1.08
4,4.0055,06BR082PON-P5 (b),,10.72,1.09,11.79,1.18
4,4.0056,06BR082PON-P5 (m),,11.25,1.15,12.37,1.24
4,4.0057,06BR082PON-P6 (b),,14.67,1.49,16.14,1.61
4,4.0058,06BR082PON-P6 (m),,13.35,1.35,14.68,1.47
4,4.0059,06BR082PON-P7 (b),,11.41,1.15,12.55,1.26
4,4.006,06BR082PON-P7 (m),,11.38,1.16,12.52,1.25
4,4.0061,LGSLG11-P1-1(b),,38.27,5.98,42.10,4.21
4,4.0062,LGSLG11-P1 - 2,,18.23,1.83,20.06,2.01
4,4.0063,LGSLG11-P1 - 3,,20.58,2.07,22.64,2.26
4,4.0064,LGSLG11-P1 - 4,,21.03,2.10,23.13,2.31
4,4.0065,LGSLG11-P1 - 5,,26.32,2.65,28.95,2.90
4,4.0066,LGSLG11-P2 - 1(b),,23.84,2.79,26.22,2.62
4,4.0067,LGSLG11-P2 - 2,,15.85,1.59,17.44,1.74
4,4.0068,LGSLG11-P2 - 3,,16.55,1.66,18.21,1.82
4,4.0069,LGSLG11-P2 - 4,,21.61,2.16,23.77,2.38
4,4.007,LGSLG11-P2 - 5(n),,22.15,2.22,24.37,2.44
4,4.0071,LGSLG11-P3 - 1 (b),,25.46,2.55,28.01,2.80
4,4.0072,LGSLG11-P3 - 2,,27.46,2.75,30.21,3.02
4,4.0073,LGSLG11-P3 - 3,,18.26,1.83,20.08,2.01
4,4.0074,LGSLG11-P3 - 4(n),,17.11,1.71,18.82,1.88
4,4.0075,LGSLG11-P4 - 1(b),,11.49,1.15,12.64,1.26
4,4.0076,LGSLG11-P4 - 2,,18.84,1.88,20.72,2.07
4,4.0077,LGSLG11-P4 - 3,,31.91,3.19,35.10,3.51
4,4.0078,LGSLG11-P4 - 4(n),,22.41,2.24,24.65,2.47
4,4.0079,LGSLG10 - 1(cimento),,17.64,1.77,19.40,1.94
4,4.008,LGSLG10 - 2(pisolito),,34.73,3.48,38.21,3.82
4,4.0081,LGSLG11 - 1(cimento),,16.32,1.63,17.95,1.79
4,4.0082,LGSLG11 - 2(pisolito),,20.66,2.07,22.72,2.27
4,4.0083,LG-04-01,,38.66,3.90,42.53,4.25
4,4.0084,LG-04-02,,25.35,2.50,27.89,2.79
4,4.0085,LG-04-04a,,29.31,2.93,32.24,3.22
4,4.0086,LG-04-04b,,21.73,2.17,23.90,2.39
4,4.0087,LS-01,,17.34,1.73,19.07,1.91
4,4.0088,LS-02a,,27.76,2.78,30.54,3.05
4,4.0089,LS-02a2,,43.24,4.32,47.56,4.76
4,4.009,LS-02b,,30.99,3.10,34.09,3.41
4,4.0091,LS-02c,,34.17,3.42,37.59,3.76
4,4.0092,LS-02d,,32.92,3.29,36.21,3.62
4,4.0093,LS-02e,,25.69,2.57,28.26,2.83
4,4.0094,LS-02f,,28.02,2.80,30.82,3.08
4,4.0095,LS-02g,,35.58,3.56,39.14,3.91
4,4.0096,LS-02h,,28.61,2.86,31.47,3.15
4,4.0097,LS-02i,,33.19,3.32,36.51,3.65
4,4.0098,RIOFOGO-04 -01 (pisolito),,11.72,1.17,12.89,1.29
4,4.0099,RF-04-01,,16.15,1.62,17.77,1.78
4,4.01,RF-04-02,,13.56,1.36,14.92,1.49
4,4.0101,GA-04-03,,23.70,2.37,26.07,2.61
4,4.0102,GA-04-04,,17.20,1.72,18.92,1.89
4,4.0103,GARCA-0404 (P),,11.73,1.17,12.91,1.29
4,4.0104,GA-04-05,,12.31,1.23,13.54,1.35
4,4.0105,GARCA04-05-(P),,10.21,1.02,11.23,1.12
4,4.0106,GARCA-0405(P),,12.06,1.21,13.27,1.33
4,4.0107,GA-04-06,,14.60,1.46,16.06,1.61
4,4.0108,GARCA-0406(P),,12.78,1.28,14.06,1.41
4,4.0109,06BR091LAJ-P1 (b),,2.26,0.27,2.49,0.25
4,4.011,06BR091LAJ-P3 (b),,25.68,2.57,28.25,2.82
4,4.0111,06BR091LAJ-P4 (b),,2.28,0.23,2.51,0.25
4,4.0112,06BR091LAJ-P5 (b),,1.15,0.12,1.26,0.13
4,4.0113,06BR091LAJ-P5 (n),,8.86,0.89,9.74,0.97
4,4.0114,06BR091LAJ-P6(B),,1.79,0.18,1.97,0.20
4,4.0115,06BR091LAJ-P6 (b),,3.82,0.38,4.21,0.42
4,4.0116,06BR091LAJ-P6 (n),,0.78,0.08,0.85,0.09
4,4.0117,06BR091LAJ-P7 (n),,18.94,2.22,20.83,2.08
4,4.0118,06BR092LAJ-P1 (b),,1.32,0.13,1.46,0.15
4,4.0119,06BR092LAJ-P1 (m),,1.45,0.15,1.60,0.16
4,4.012,06BR092LAJ-P2(B),,4.85,0.49,5.34,0.53
4,4.0121,06BR092LAJ-P2 (b),,4.85,0.49,5.33,0.53
4,4.0122,06BR092LAJ-P4(B),,2.08,0.21,2.29,0.23
4,4.0123,06BR092LAJ-P4 (b),,1.83,0.18,2.01,0.20
4,4.0124,06BR092LAJ-P4(M),,2.16,0.22,2.38,0.24
4,4.0125,06BR092LAJ-P4 (m),,5.10,0.51,5.61,0.56
4,4.0126,06BR092LAJ-P5(B),,4.41,0.45,4.85,0.49
4,4.0127,06BR092LAJ-P5 (b),,3.70,0.38,4.07,0.41
4,4.0128,06BR092LAJ-P5(N),,22.36,2.24,24.60,2.46
4,4.0129,06BR092LAJ-P5 (n),,5.98,0.60,6.58,0.66
4,4.013,06BR092LAJ-P6(B),,3.31,0.33,3.64,0.36
4,4.0131,06BR092LAJ-P6 (b),,4.86,0.49,5.34,0.53
4,4.0132,06BR088-OLHO,,2.96,0.30,3.26,0.33
4,4.0133,06BR008-BOM1-02,,9.19,0.96,10.10,1.01
4,4.0134,06BR008-BOM1-03,,18.33,2.01,20.17,2.02
4,4.0135,06BR008-BOM1-04,,11.25,1.19,12.37,1.24
4,4.0136,06BR008-BOM1-05,,13.02,1.35,14.32,1.43
4,4.0137,06BR007-BOM3-01,,10.20,1.41,11.22,1.12
4,4.0138,06BR007BOM3-02,,20.09,2.00,22.10,2.21
4,4.0139,06BR007BOM3-03,,12.45,1.25,13.70,1.37
4,4.014,06BR007BOM3-04,,9.34,0.94,10.27,1.03
4,4.0141,06BR007BOM3-05,,13.39,1.34,14.73,1.47
4,4.0142,06BR125-CUI1-01,,13.94,1.40,15.33,1.53
4,4.0143,06BR125-CUI1-02,,12.51,1.25,13.76,1.38
4,4.0144,06BR125-CUI1-03,,12.95,1.30,14.24,1.42
4,4.0145,06BR125-CUI1-04,,7.02,0.70,7.73,0.77
4,4.0146,06BR125-CUI1-05,,7.91,0.79,8.70,0.87
4,4.0147,06BR125-CUI2-01,,5.48,0.56,6.03,0.60
4,4.0148,06BR125-CUI2-03,,8.19,0.82,9.01,0.90
4,4.0149,06BR125-CUI2-05,,7.40,0.74,8.14,0.81
4,4.015,06BR002-ARA1-01,,3.94,0.43,4.33,0.43
4,4.0151,06BR002-ARA1-01,,2.96,0.30,3.25,0.33
4,4.0152,06BR002-ARA1-01,,3.61,0.38,3.97,0.40
4,4.0153,06BR002-ARA1-02,,3.39,0.35,3.73,0.37
4,4.0154,06BR002-ARA1-02,,3.35,0.35,3.69,0.37
4,4.0155,06BR002-ARA1-02,,3.00,0.31,3.30,0.33
4,4.0156,06BR002-ARA2-01,,11.37,1.14,12.51,1.25
4,4.0157,06BR002-ARA2-01,,3.95,0.41,4.34,0.43
4,4.0158,06BR002-ARA2-01,,3.11,0.33,3.43,0.34
4,4.0159,06BR002-ARA2-02,,3.69,0.38,4.06,0.41
4,4.016,06BR002-ARA2-02,,3.23,0.33,3.55,0.36
4,4.0161,06BR002-ARA2-03,,2.99,0.31,3.29,0.33
4,4.0162,06BR002-ARA2-03,,3.29,0.35,3.62,0.36
4,4.0163,06BR002-ARA2-03,,3.71,0.43,4.09,0.41
4,4.0164,06BR002-ARA2-04,,3.97,0.42,4.37,0.44
